text,label
"Your account has been compromised. Click here to verify your credentials immediately.",1
"Update your payment information or your account will be suspended.",1
"Urgent: Your password is about to expire. Reset it now.",1
"Please confirm your email address to continue using our service.",1
"Congratulations! You've won a free iPhone. Claim now!",1
"Meeting scheduled for tomorrow at 10 AM.",0
"Here is the report for Q3 financial performance.",0
"Reminder: Please submit your timesheet by Friday.",0
"Your subscription renewal was successful.",0
"Lunch meeting with the team at 12 PM.",0
